title,price,neighborhood,url
1 beds   1 baths  600 sqft,"$1,150","45 Gardiner Rd #321, Toronto, ON M5P 3B6",https://toronto.craigslist.org/tor/apa/d/toronto-beds-baths-600-sqft/7871228767.html
"One bedroom, bathroom condo in the heart of downtown","$1,400",Toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-one-bedroom-bathroom/7869179113.html
1+1 Bed & 1 Bath- 47 Lower River St,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-11-bed-bath-47-lower/7871191024.html
0 Bed & 1 Bath - 238 Simcoe St,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-bed-bath-simcoe-st/7871190220.html
1 Bed & 1 Bath - 252 Church St,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-bed-bath-church-st/7871189687.html
1+1 Bed & 1 Bath - 60 Tannery Rd,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-11-bed-bath-60-tannery/7871189132.html
1 Bed 1 Bath - 100 Dalhousie St,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-bed-bath-dalhousie-st/7871188197.html
1 Bed & 1 Bath - 5 Defries St,"$2,100",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-bed-bath-defries-st/7871187055.html
PRIVATE FURNISHED ACCOMMODATION IN DOWNTOWN CHATEAU (Casa Loma),"$1,500",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-private-furnished-accommodation/7865229618.html
PRIVATE FURNISHED ACCOMMODATION IN DOWNTOWN CHATEAU (Casa Loma),"$1,500",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-private-furnished-accommodation/7865215602.html
PRIVATE FURNISHED ACCOMMODATION IN DOWNTOWN TORONTO CHATEAU (Casa Loma,"$1,800",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-private-furnished-accommodation/7867059860.html
PRIVATE FURNISHED ACCOMMODATION IN DOWNTOWN CHATEAU (Casa Loma),"$1,500",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-private-furnished-accommodation/7864309913.html
1+1 Bed & 1 Bath - 2 Clairtrell Rd,"$2,400",Toronto,https://toronto.craigslist.org/tor/apa/d/north-york-11-bed-bath-clairtrell-rd/7867276028.html
1 Bed  + 1 Bath -  15 Grenville St,"$2,400",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-bed-bath-15-grenville-st/7867275150.html
